BugName,Notes,TBar-time,TBar-10k,CURE-10k,SequenceR-50,Hercules-NFL,SimFix,fixminer,dlfix,acs,capgen-NFL,PAR,SOFix,PraPR,JAID,SketchFix,LSRepair,ssFix,NPEFix,Ratchet,Codit,AVATAR,CoCoNut,ARJA,GenProg,MutRepair,kPAR,RSRepair,Kali,Dynamoth,Nopol,Cardumen,VFix,iFixR,ConFix,Restore,HDRepair,,,file_no,class_no,method_no,line_no,add_line_no,del_line_no,mod_line_no,chunk_no,fail_test_no,action_no,pattern_no,First exception,add_char_no,del_char_no,node_match,insert_node,delete_node,update_node,move_tree,insert_tree,delete_tree
Clos 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,8,6,0,2,3,3,10,2,AssertionFailedError,180,26,1693,2,2,0,0,5,0
Clos 4,,2,3,,,3,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,1,1,1,2,0,0,2,2,3,2,3,AssertionFailedError,52,64,1255,2,2,2,0,0,0
Clos 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,1,1,3,3,0,0,1,1,3,1,AssertionFailedError,39,0,1721,5,5,0,0,1,0
Clos 6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,8,0,8,0,4,3,2,2,AssertionFailedError,0,336,3232,2,6,0,6,0,4
Clos 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,5,4,0,1,3,2,5,3,AssertionFailedError,120,71,2209,13,7,1,5,1,0
Clos 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,4,4,0,0,2,1,4,1,AssertionFailedError,106,0,804,2,0,0,2,2,0
Clos 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,1,0,1,2,1,5,2,ComparisonFailure,86,68,1215,3,6,1,1,1,0
Clos 10,,3,3,3,,,,3,3,,,,,3,,,,,,,,,,,,,3,,,,,,,,,,3,,,1,1,1,1,0,0,1,1,1,2,2,AssertionFailedError,18,18,10608,4,4,1,0,0,0
Clos 11,,3,3,3,,,,,,,,,,3,,,,,,,,3,,,,,3,,3,,,,,,,3,,,,1,1,1,2,0,2,0,1,2,3,1,AssertionFailedError,0,63,7037,3,4,0,3,0,2
Clos 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,6,6,0,0,1,1,6,2,AssertionFailedError,180,0,965,0,0,0,0,2,0
Clos 13,,3,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,1,0,2,1,1,2,AssertionFailedError,24,24,609,0,0,0,1,0,0
Clos 14,,,,,,3,3,,3,,,,,3,,3,,3,,,,,,,,,,,,,,,,,3,3,3,,,1,1,1,1,0,0,1,1,3,2,3,AssertionFailedError,13,14,3818,3,3,1,0,0,0
Clos 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,3,0,0,1,1,3,1,AssertionFailedError,33,0,1608,2,2,0,0,1,0
Clos 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,9,6,0,3,5,2,8,3,AssertionFailedError,378,95,1876,11,13,1,3,8,1
Clos 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,5,4,0,1,2,1,5,2,ComparisonFailure,213,55,8163,8,7,0,4,3,0
Clos 18,,3,2,3,3,,,,3,,,,,3,3,,,,,,,,3,,,,,,,,,,,,,3,,,,1,1,1,1,0,0,1,1,1,1,2,AssertionFailedError,45,68,8852,3,6,0,1,0,0
Clos 19,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,0,0,2,1,1,1,IllegalArgumentException,22,0,2207,7,4,0,0,0,0
Clos 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,0,1,1,1,2,3,AssertionFailedError,67,5,6362,6,2,0,1,2,0
Clos 21,,2,2,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,1,1,1,19,0,17,2,2,1,8,4,AssertionFailedError,47,566,678,4,15,1,5,1,6
